locality,normalized_input,geo_scope,city_cluster,locality_detail,mapping_reason
Bangalore,bangalore,Bangalore,Bangalore,Bangalore (Unspecified),exact Bangalore mapping: Bangalore (Unspecified)
Banglore,banglore,Bangalore,Bangalore,Bangalore (Unspecified),exact Bangalore mapping: Bangalore (Unspecified)
Bengaluru,bengaluru,Bangalore,Bangalore,Bangalore (Unspecified),exact Bangalore mapping: Bangalore (Unspecified)
Bellandur,bellandur,Bangalore,Bangalore,Bellandur,exact Bangalore mapping: Bellandur
Bommanahalli,bommanahalli,Bangalore,Bangalore,Bommanahalli,exact Bangalore mapping: Bommanahalli
CV Raman Nagar,cv raman nagar,Bangalore,Bangalore,CV Raman Nagar,exact Bangalore mapping: CV Raman Nagar
Chikkanayakanahalli,chikkanayakanahalli,Bangalore,Bangalore,Chikkanayakanahalli,exact Bangalore mapping: Chikkanayakanahalli
DODDABALLAPURA,doddaballapura,Bangalore,Bangalore,Doddaballapura,exact Bangalore mapping: Doddaballapura
Gottigere,gottigere,Bangalore,Bangalore,Gottigere,exact Bangalore mapping: Gottigere
HAL,hal,Bangalore,Bangalore,HAL,exact Bangalore mapping: HAL
HSR Layout,hsr layout,Bangalore,Bangalore,HSR Layout,exact Bangalore mapping: HSR Layout
HSR layout,hsr layout,Bangalore,Bangalore,HSR Layout,exact Bangalore mapping: HSR Layout
Hsr layout,hsr layout,Bangalore,Bangalore,HSR Layout,exact Bangalore mapping: HSR Layout
Haralur,haralur,Bangalore,Bangalore,Harlur,exact Bangalore mapping: Harlur
"Harlur,Bangalore",harlur bangalore,Bangalore,Bangalore,Harlur,exact Bangalore mapping: Harlur
Hebbal,hebbal,Bangalore,Bangalore,Hebbal,exact Bangalore mapping: Hebbal
Horamavu,horamavu,Bangalore,Bangalore,Horamavu,exact Bangalore mapping: Horamavu
Indiranagar,indiranagar,Bangalore,Bangalore,Indiranagar,exact Bangalore mapping: Indiranagar
JP Nagar,jp nagar,Bangalore,Bangalore,JP Nagar,exact Bangalore mapping: JP Nagar
JP Nagara,jp nagara,Bangalore,Bangalore,JP Nagar,exact Bangalore mapping: JP Nagar
Jp Nagar,jp nagar,Bangalore,Bangalore,JP Nagar,exact Bangalore mapping: JP Nagar
Jp nagar,jp nagar,Bangalore,Bangalore,JP Nagar,exact Bangalore mapping: JP Nagar
Jp nagar 2nd phase,jp nagar 2nd phase,Bangalore,Bangalore,JP Nagar,exact Bangalore mapping: JP Nagar
