dataset,group_var,item_id,test_type,n,rows,columns,statistic,p_value,chi2_for_effect,degrees_freedom,cramers_v,min_expected,holm_p_value
augmented,age_range,k1,Chi-square,251,4,4,21.642420397742164,0.010084023462325812,21.642420397742164,9,0.16953346027763383,0.4581673306772908,1.0
augmented,age_range,k2,Chi-square,251,4,4,31.08423915719189,0.0002863407949112472,31.08423915719189,9,0.2031761060982129,0.6374501992031872,0.04466916400615456
augmented,age_range,k3,Chi-square,251,4,4,26.395473852318556,0.0017596150695721067,26.395473852318556,9,0.1872264675089535,0.23904382470119523,0.24986533987923915
augmented,age_range,k4,Chi-square,251,4,4,27.98128027718826,0.000960761286353032,27.98128027718826,9,0.19276860419648795,0.5976095617529881,0.1441141929529548
augmented,age_range,k5,Chi-square,251,4,4,12.162056116662832,0.20432679885177282,12.162056116662832,9,0.12708842963240746,0.05976095617529881,1.0
augmented,age_range,k6,Chi-square,251,4,4,4.604119065828324,0.867363932777985,4.604119065828324,9,0.0781944240295125,0.0796812749003984,1.0
augmented,age_range,k7,Chi-square,251,4,4,36.529245562886956,3.192658201272335e-05,36.529245562886956,9,0.2202535227716973,0.5776892430278885,0.0052998126141120755
augmented,age_range,k8,Chi-square,251,4,4,15.264017876209428,0.08393449496715787,15.264017876209428,9,0.14237605161910943,0.3784860557768924,1.0
augmented,age_range,k9,Chi-square,251,4,4,13.725682649599001,0.13242328466691053,13.725682649599001,9,0.13501110401236924,0.0398406374501992,1.0
augmented,age_range,k10,Chi-square,251,4,4,17.067339504978456,0.0476718302066661,17.067339504978456,9,0.15055161744479412,0.4581673306772908,1.0
augmented,age_range,a1,Chi-square,251,4,4,8.596372374921579,0.47533458161422093,8.596372374921579,9,0.10684645605979928,0.8167330677290837,1.0
augmented,age_range,a2,Chi-square,251,4,4,16.19007866505978,0.06301679457543981,16.19007866505978,9,0.14663140345606415,0.49800796812749004,1.0
augmented,age_range,a3,Chi-square,251,4,4,24.00918449615921,0.004286813932408845,24.00918449615921,9,0.17856289414717183,0.2788844621513944,0.5658594390779675
augmented,age_range,a4,Chi-square,251,4,4,18.964250237395838,0.02549858901643347,18.964250237395838,9,0.15869759693863691,0.6374501992031872,1.0
augmented,age_range,a5,Chi-square,251,4,4,10.551751059434345,0.3076886324631623,10.551751059434345,9,0.11837630512109523,0.43824701195219123,1.0
augmented,age_range,a6,Chi-square,251,4,4,17.851470413784224,0.036936375588609204,17.851470413784224,9,0.15397120517687007,0.2788844621513944,1.0
augmented,age_range,a7,Chi-square,251,4,4,12.818738043572573,0.17098116500457974,12.818738043572573,9,0.13047435188100517,0.3386454183266932,1.0
augmented,age_range,a8,Chi-square,251,4,4,8.089970096245391,0.5251054830178178,8.089970096245391,9,0.10365159037008964,0.41832669322709165,1.0
