dataset,outcome,group_var,comparison,left_level,right_level,left_n,right_n,left_mean,right_mean,left_median,right_median,statistic,raw_p_value,effect_size,effect_size_name,holm_p_value
augmented,knowledge_score,gender,Male vs Female,Male,Female,170,79,5.729411764705882,7.6455696202531644,6.0,8.0,3528.0,1.271851532744086e-09,-0.4746090841399851,Cliff's delta,3.815554598232258e-09
augmented,knowledge_score,gender,Male vs Prefer not to say,Male,Prefer not to say,170,2,5.729411764705882,9.5,6.0,9.5,18.0,0.029040272183015116,-0.8941176470588236,Cliff's delta,0.05808054436603023
augmented,knowledge_score,gender,Female vs Prefer not to say,Female,Prefer not to say,79,2,7.6455696202531644,9.5,8.0,9.5,32.0,0.15006254823517207,-0.5949367088607594,Cliff's delta,0.15006254823517207
augmented,attitude_score,work_mode,Full time vs Hybrid,Full time,Hybrid,196,37,26.806122448979593,28.64864864864865,27.0,29.0,2831.0,0.03402306017812589,-0.21924986210700498,Cliff's delta,0.06804612035625178
augmented,attitude_score,work_mode,Full time vs Work from home (Remote),Full time,Work from home (Remote),196,18,26.806122448979593,29.444444444444443,27.0,30.0,1021.0,0.003040195896895372,-0.4212018140589569,Cliff's delta,0.009120587690686115
augmented,attitude_score,work_mode,Hybrid vs Work from home (Remote),Hybrid,Work from home (Remote),37,18,28.64864864864865,29.444444444444443,29.0,30.0,295.5,0.5041574425328998,-0.11261261261261261,Cliff's delta,0.5041574425328998
augmented,practice_index,professional_experience,0-3 years vs 3-6 years,0-3 years,3-6 years,81,67,20.135802469135804,22.71641791044776,20.0,24.0,1716.5,0.00011582288397991229,-0.3674221485166759,Cliff's delta,0.001158228839799123
augmented,practice_index,professional_experience,0-3 years vs 6-10 years,0-3 years,6-10 years,81,45,20.135802469135804,20.444444444444443,20.0,22.0,1738.5,0.6691133213612239,-0.04609053497942387,Cliff's delta,1.0
augmented,practice_index,professional_experience,0-3 years vs 10-15 years,0-3 years,10-15 years,81,37,20.135802469135804,20.027027027027028,20.0,19.0,1459.0,0.8200644731195986,-0.026359693026359692,Cliff's delta,1.0
augmented,practice_index,professional_experience,0-3 years vs 15+ years,0-3 years,15+ years,81,21,20.135802469135804,21.047619047619047,20.0,23.0,744.0,0.37777795406590853,-0.12522045855379188,Cliff's delta,1.0
augmented,practice_index,professional_experience,3-6 years vs 6-10 years,3-6 years,6-10 years,67,45,22.71641791044776,20.444444444444443,24.0,22.0,1987.0,0.0042355812299027734,0.31807628524046433,Cliff's delta,0.03388464983922219
augmented,practice_index,professional_experience,3-6 years vs 10-15 years,3-6 years,10-15 years,67,37,22.71641791044776,20.027027027027028,24.0,19.0,1686.5,0.0022300212335119333,0.36062928600242034,Cliff's delta,0.0200701911016074
augmented,practice_index,professional_experience,3-6 years vs 15+ years,3-6 years,15+ years,67,21,22.71641791044776,21.047619047619047,24.0,23.0,886.5,0.0715262594753355,0.2601279317697228,Cliff's delta,0.5006838163273485
augmented,practice_index,professional_experience,6-10 years vs 10-15 years,6-10 years,10-15 years,45,37,20.444444444444443,20.027027027027028,22.0,19.0,866.5,0.753494304642887,0.04084084084084084,Cliff's delta,1.0
augmented,practice_index,professional_experience,6-10 years vs 15+ years,6-10 years,15+ years,45,21,20.444444444444443,21.047619047619047,22.0,23.0,425.5,0.5185275290618294,-0.09947089947089947,Cliff's delta,1.0
augmented,practice_index,professional_experience,10-15 years vs 15+ years,10-15 years,15+ years,37,21,20.027027027027028,21.047619047619047,19.0,23.0,343.5,0.46775400297717507,-0.11583011583011583,Cliff's delta,1.0
