dataset,outcome,group_var,test_type,levels,n_total,group_sizes,group_means,group_medians,statistic,p_value,effect_size,effect_size_name,direction
augmented,knowledge_score,age_range,Kruskal-Wallis,"20-30 years, 30-40 years, 40-50 years, 50-60 years",251,20-30 years=155; 30-40 years=77; 40-50 years=14; 50-60 years=5,20-30 years=6.32; 30-40 years=6.51; 40-50 years=6.07; 50-60 years=6.20,20-30 years=6.00; 30-40 years=7.00; 40-50 years=5.50; 50-60 years=6.00,0.4073458504003348,0.9387208684524599,0.0,epsilon-squared,Omnibus
augmented,knowledge_score,gender,Kruskal-Wallis,"Male, Female, Prefer not to say",251,Male=170; Female=79; Prefer not to say=2,Male=5.73; Female=7.65; Prefer not to say=9.50,Male=6.00; Female=8.00; Prefer not to say=9.50,40.49462875198451,1.609544888289215e-09,0.15522027722574397,epsilon-squared,Omnibus
augmented,knowledge_score,professional_experience,Kruskal-Wallis,"0-3 years, 3-6 years, 6-10 years, 10-15 years, 15+ years",251,0-3 years=81; 3-6 years=67; 6-10 years=45; 10-15 years=37; 15+ years=21,0-3 years=6.43; 3-6 years=6.51; 6-10 years=6.04; 10-15 years=6.97; 15+ years=5.24,0-3 years=7.00; 3-6 years=7.00; 6-10 years=6.00; 10-15 years=7.00; 15+ years=5.00,8.86494203203844,0.0645653804507211,0.01977618712210748,epsilon-squared,Omnibus
augmented,knowledge_score,work_mode,Kruskal-Wallis,"Full time, Hybrid, Work from home (Remote)",251,Full time=196; Hybrid=37; Work from home (Remote)=18,Full time=6.29; Hybrid=7.05; Work from home (Remote)=5.78,Full time=6.00; Hybrid=8.00; Work from home (Remote)=6.00,4.974866620199106,0.08312304408399485,0.011995429920157685,epsilon-squared,Omnibus
augmented,knowledge_score,previous_treatment,Mann-Whitney U,No vs Yes,251,No=199; Yes=52,No=6.44; Yes=6.06,No=7.00; Yes=6.00,5752.5,0.21148693617552627,0.11180904522613065,Cliff's delta,No > Yes
augmented,knowledge_score,sample_source,Mann-Whitney U,observed vs generated,251,observed=101; generated=150,observed=6.21; generated=6.47,observed=6.00; generated=7.00,7148.5,0.4466038924895379,-0.0563036303630363,Cliff's delta,generated > observed
augmented,attitude_score,age_range,Kruskal-Wallis,"20-30 years, 30-40 years, 40-50 years, 50-60 years",251,20-30 years=155; 30-40 years=77; 40-50 years=14; 50-60 years=5,20-30 years=27.98; 30-40 years=25.97; 40-50 years=26.64; 50-60 years=26.80,20-30 years=28.00; 30-40 years=26.00; 40-50 years=27.50; 50-60 years=28.00,7.364620886784445,0.06114087643737068,0.0176705299060099,epsilon-squared,Omnibus
augmented,attitude_score,gender,Kruskal-Wallis,"Male, Female, Prefer not to say",251,Male=170; Female=79; Prefer not to say=2,Male=26.71; Female=28.41; Prefer not to say=30.00,Male=27.00; Female=28.00; Prefer not to say=30.00,5.757712207959988,0.05619901190604669,0.01515206535467737,epsilon-squared,Omnibus
augmented,attitude_score,professional_experience,Kruskal-Wallis,"0-3 years, 3-6 years, 6-10 years, 10-15 years, 15+ years",251,0-3 years=81; 3-6 years=67; 6-10 years=45; 10-15 years=37; 15+ years=21,0-3 years=27.74; 3-6 years=27.87; 6-10 years=26.53; 10-15 years=26.62; 15+ years=26.24,0-3 years=27.00; 3-6 years=28.00; 6-10 years=27.00; 10-15 years=28.00; 15+ years=28.00,3.337986623518809,0.5029362043532262,0.0,epsilon-squared,Omnibus
augmented,attitude_score,work_mode,Kruskal-Wallis,"Full time, Hybrid, Work from home (Remote)",251,Full time=196; Hybrid=37; Work from home (Remote)=18,Full time=26.81; Hybrid=28.65; Work from home (Remote)=29.44,Full time=27.00; Hybrid=29.00; Work from home (Remote)=30.00,11.732982571363948,0.00283279538674535,0.03924589746517721,epsilon-squared,Omnibus
augmented,attitude_score,previous_treatment,Mann-Whitney U,No vs Yes,251,No=199; Yes=52,No=27.26; Yes=27.29,No=27.00; Yes=30.00,4527.0,0.16403258582139757,-0.1250483185156552,Cliff's delta,Yes > No
augmented,attitude_score,sample_source,Mann-Whitney U,observed vs generated,251,observed=101; generated=150,observed=27.11; generated=27.37,observed=28.00; generated=27.50,7505.5,0.9023035744563489,-0.009174917491749176,Cliff's delta,observed > generated
augmented,practice_index,age_range,Kruskal-Wallis,"20-30 years, 30-40 years, 40-50 years, 50-60 years",251,20-30 years=155; 30-40 years=77; 40-50 years=14; 50-60 years=5,20-30 years=21.32; 30-40 years=20.39; 40-50 years=20.71; 50-60 years=18.20,20-30 years=23.00; 30-40 years=21.00; 40-50 years=20.50; 50-60 years=15.00,4.82110315419331,0.18537543060725445,0.007372887263940525,epsilon-squared,Omnibus
augmented,practice_index,gender,Kruskal-Wallis,"Male, Female, Prefer not to say",251,Male=170; Female=79; Prefer not to say=2,Male=20.69; Female=21.44; Prefer not to say=22.00,Male=22.00; Female=23.00; Prefer not to say=22.00,1.518495908712356,0.46801826579193306,0.0,epsilon-squared,Omnibus
augmented,practice_index,professional_experience,Kruskal-Wallis,"0-3 years, 3-6 years, 6-10 years, 10-15 years, 15+ years",251,0-3 years=81; 3-6 years=67; 6-10 years=45; 10-15 years=37; 15+ years=21,0-3 years=20.14; 3-6 years=22.72; 6-10 years=20.44; 10-15 years=20.03; 15+ years=21.05,0-3 years=20.00; 3-6 years=24.00; 6-10 years=22.00; 10-15 years=19.00; 15+ years=23.00,18.18096968885087,0.0011375346350130317,0.057646218247361256,epsilon-squared,Omnibus
augmented,practice_index,work_mode,Kruskal-Wallis,"Full time, Hybrid, Work from home (Remote)",251,Full time=196; Hybrid=37; Work from home (Remote)=18,Full time=21.01; Hybrid=21.05; Work from home (Remote)=19.94,Full time=23.00; Hybrid=21.00; Work from home (Remote)=20.00,1.9737630734952332,0.3727372479149352,0.0,epsilon-squared,Omnibus
augmented,practice_index,previous_treatment,Mann-Whitney U,No vs Yes,251,No=199; Yes=52,No=20.71; Yes=21.81,No=22.00; Yes=23.00,4416.5,0.10276982830413875,-0.14640510243525318,Cliff's delta,Yes > No
augmented,practice_index,sample_source,Mann-Whitney U,observed vs generated,251,observed=101; generated=150,observed=20.89; generated=20.97,observed=22.00; generated=22.50,7532.0,0.9396542920341284,-0.005676567656765677,Cliff's delta,generated > observed
