dataset,outcome,group_var,test_type,levels,n_total,group_sizes,group_means,group_medians,statistic,p_value,effect_size,effect_size_name,direction
observed,knowledge_score,age_range,Kruskal-Wallis,"20-30 years, 30-40 years, 40-50 years, 50-60 years",101,20-30 years=62; 30-40 years=31; 40-50 years=6; 50-60 years=2,20-30 years=6.32; 30-40 years=6.16; 40-50 years=5.33; 50-60 years=6.00,20-30 years=7.00; 30-40 years=6.00; 40-50 years=5.00; 50-60 years=6.00,0.7949103540536818,0.8506840183952897,0.0,epsilon-squared,Omnibus
observed,knowledge_score,gender,Kruskal-Wallis,"Male, Female, Prefer not to say",101,Male=68; Female=32; Prefer not to say=1,Male=5.44; Female=7.72; Prefer not to say=10.00,Male=5.50; Female=8.00; Prefer not to say=10.00,21.04565038719575,2.691504339652886e-05,0.19434337129791582,epsilon-squared,Omnibus
observed,knowledge_score,professional_experience,Kruskal-Wallis,"0-3 years, 3-6 years, 6-10 years, 10-15 years, 15+ years",101,0-3 years=30; 3-6 years=27; 6-10 years=19; 10-15 years=15; 15+ years=10,0-3 years=6.60; 3-6 years=6.48; 6-10 years=5.79; 10-15 years=6.13; 15+ years=5.20,0-3 years=7.00; 3-6 years=7.00; 6-10 years=6.00; 10-15 years=6.00; 15+ years=5.00,3.3075523386718864,0.5077365470570716,0.0,epsilon-squared,Omnibus
observed,knowledge_score,work_mode,Kruskal-Wallis,"Full time, Hybrid, Work from home (Remote)",101,Full time=77; Hybrid=15; Work from home (Remote)=9,Full time=6.09; Hybrid=7.00; Work from home (Remote)=5.89,Full time=6.00; Hybrid=7.00; Work from home (Remote)=6.00,1.9890934124348953,0.3698910758729839,0.0,epsilon-squared,Omnibus
observed,knowledge_score,previous_treatment,Mann-Whitney U,No vs Yes,101,No=79; Yes=22,No=6.27; Yes=6.00,No=6.00; Yes=6.00,937.0,0.5760354279807274,0.07825086306098965,Cliff's delta,No > Yes
observed,attitude_score,age_range,Kruskal-Wallis,"20-30 years, 30-40 years, 40-50 years, 50-60 years",101,20-30 years=62; 30-40 years=31; 40-50 years=6; 50-60 years=2,20-30 years=28.10; 30-40 years=25.42; 40-50 years=25.83; 50-60 years=26.50,20-30 years=28.00; 30-40 years=26.00; 40-50 years=27.50; 50-60 years=26.50,5.1773857274519015,0.15925946554687417,0.022447275540741253,epsilon-squared,Omnibus
observed,attitude_score,gender,Kruskal-Wallis,"Male, Female, Prefer not to say",101,Male=68; Female=32; Prefer not to say=1,Male=26.53; Female=28.25; Prefer not to say=30.00,Male=28.00; Female=28.00; Prefer not to say=30.00,2.5850140680568385,0.274581534215714,0.005969531306702434,epsilon-squared,Omnibus
observed,attitude_score,professional_experience,Kruskal-Wallis,"0-3 years, 3-6 years, 6-10 years, 10-15 years, 15+ years",101,0-3 years=30; 3-6 years=27; 6-10 years=19; 10-15 years=15; 15+ years=10,0-3 years=27.83; 3-6 years=27.89; 6-10 years=26.00; 10-15 years=26.40; 15+ years=26.00,0-3 years=28.00; 3-6 years=28.00; 6-10 years=27.00; 10-15 years=28.00; 15+ years=27.00,2.3275535133651992,0.6757571159953469,0.0,epsilon-squared,Omnibus
observed,attitude_score,work_mode,Kruskal-Wallis,"Full time, Hybrid, Work from home (Remote)",101,Full time=77; Hybrid=15; Work from home (Remote)=9,Full time=26.60; Hybrid=28.07; Work from home (Remote)=29.89,Full time=27.00; Hybrid=29.00; Work from home (Remote)=30.00,5.502511163889313,0.06384764490802237,0.03573990983560523,epsilon-squared,Omnibus
observed,attitude_score,previous_treatment,Mann-Whitney U,No vs Yes,101,No=79; Yes=22,No=26.95; Yes=27.68,No=28.00; Yes=29.50,719.0,0.2169898370795973,-0.17261219792865362,Cliff's delta,Yes > No
observed,practice_index,age_range,Kruskal-Wallis,"20-30 years, 30-40 years, 40-50 years, 50-60 years",101,20-30 years=62; 30-40 years=31; 40-50 years=6; 50-60 years=2,20-30 years=21.13; 30-40 years=20.65; 40-50 years=20.33; 50-60 years=19.00,20-30 years=22.50; 30-40 years=21.00; 40-50 years=20.50; 50-60 years=19.00,0.952993404593806,0.8126240321643211,0.0,epsilon-squared,Omnibus
observed,practice_index,gender,Kruskal-Wallis,"Male, Female, Prefer not to say",101,Male=68; Female=32; Prefer not to say=1,Male=20.32; Female=22.06; Prefer not to say=22.00,Male=21.00; Female=23.00; Prefer not to say=22.00,3.3872788973315524,0.18384919521108678,0.014155907115628086,epsilon-squared,Omnibus
observed,practice_index,professional_experience,Kruskal-Wallis,"0-3 years, 3-6 years, 6-10 years, 10-15 years, 15+ years",101,0-3 years=30; 3-6 years=27; 6-10 years=19; 10-15 years=15; 15+ years=10,0-3 years=20.43; 3-6 years=22.00; 6-10 years=20.89; 10-15 years=19.80; 15+ years=20.90,0-3 years=21.50; 3-6 years=23.00; 6-10 years=22.00; 10-15 years=19.00; 15+ years=22.50,3.2221572014875104,0.5213596294026641,0.0,epsilon-squared,Omnibus
observed,practice_index,work_mode,Kruskal-Wallis,"Full time, Hybrid, Work from home (Remote)",101,Full time=77; Hybrid=15; Work from home (Remote)=9,Full time=20.92; Hybrid=21.67; Work from home (Remote)=19.33,Full time=22.00; Hybrid=21.00; Work from home (Remote)=19.00,1.702854855411526,0.42680526326551027,0.0,epsilon-squared,Omnibus
observed,practice_index,previous_treatment,Mann-Whitney U,No vs Yes,101,No=79; Yes=22,No=20.49; Yes=22.32,No=21.00; Yes=23.00,671.0,0.10284299390497073,-0.22784810126582278,Cliff's delta,Yes > No
