section,variable,level,overall,observed,generated
Demographics,Age range,20-30 years,155 (61.8%),62 (61.4%),93 (62.0%)
Demographics,Age range,30-40 years,77 (30.7%),31 (30.7%),46 (30.7%)
Demographics,Age range,40-50 years,14 (5.6%),6 (5.9%),8 (5.3%)
Demographics,Age range,50-60 years,5 (2.0%),2 (2.0%),3 (2.0%)
Demographics,Gender,Male,170 (67.7%),68 (67.3%),102 (68.0%)
Demographics,Gender,Female,79 (31.5%),32 (31.7%),47 (31.3%)
Demographics,Gender,Prefer not to say,2 (0.8%),1 (1.0%),1 (0.7%)
Demographics,Gender,Other,0 (0.0%),0 (0.0%),0 (0.0%)
Demographics,Professional experience,0-3 years,81 (32.3%),30 (29.7%),51 (34.0%)
Demographics,Professional experience,3-6 years,67 (26.7%),27 (26.7%),40 (26.7%)
Demographics,Professional experience,6-10 years,45 (17.9%),19 (18.8%),26 (17.3%)
Demographics,Professional experience,10-15 years,37 (14.7%),15 (14.9%),22 (14.7%)
Demographics,Professional experience,15+ years,21 (8.4%),10 (9.9%),11 (7.3%)
Demographics,Work mode,Full time,196 (78.1%),77 (76.2%),119 (79.3%)
Demographics,Work mode,Hybrid,37 (14.7%),15 (14.9%),22 (14.7%)
Demographics,Work mode,Work from home (Remote),18 (7.2%),9 (8.9%),9 (6.0%)
Clinical history,Previous treatment,No,199 (79.3%),79 (78.2%),120 (80.0%)
Clinical history,Previous treatment,Yes,52 (20.7%),22 (21.8%),30 (20.0%)
Clinical history,Locality group,Bangalore,58 (23.1%),21 (20.8%),37 (24.7%)
Clinical history,Locality group,Bellandur,8 (3.2%),3 (3.0%),5 (3.3%)
Clinical history,Locality group,Chennai,30 (12.0%),12 (11.9%),18 (12.0%)
Clinical history,Locality group,Hsr Layout,8 (3.2%),3 (3.0%),5 (3.3%)
Clinical history,Locality group,Hyderabad,8 (3.2%),3 (3.0%),5 (3.3%)
Clinical history,Locality group,JP Nagar,11 (4.4%),5 (5.0%),6 (4.0%)
Clinical history,Locality group,Madurai,8 (3.2%),4 (4.0%),4 (2.7%)
Clinical history,Locality group,Nagercoil,13 (5.2%),4 (4.0%),9 (6.0%)
Clinical history,Locality group,Other,94 (37.5%),41 (40.6%),53 (35.3%)
Clinical history,Locality group,Ulsoor,5 (2.0%),1 (1.0%),4 (2.7%)
Clinical history,Locality group,Whitefield,8 (3.2%),4 (4.0%),4 (2.7%)
Behavior and scores,"Survey duration (minutes, trimmed)",Summary,"7.39 ± 7.04; median 6.00 [IQR 4.00, 7.00]","6.40 ± 4.76; median 5.50 [IQR 4.00, 7.00]","8.06 ± 8.16; median 6.00 [IQR 4.00, 7.00]"
Behavior and scores,Knowledge score,Summary,"6.36 ± 2.36; median 6.00 [IQR 4.00, 8.00]","6.21 ± 2.49; median 6.00 [IQR 4.00, 8.00]","6.47 ± 2.27; median 7.00 [IQR 4.25, 8.00]"
Behavior and scores,Attitude score,Summary,"27.27 ± 4.64; median 28.00 [IQR 24.00, 30.00]","27.11 ± 4.94; median 28.00 [IQR 24.00, 30.00]","27.37 ± 4.45; median 27.50 [IQR 25.00, 30.00]"
Behavior and scores,Practice index,Summary,"20.94 ± 4.27; median 22.00 [IQR 17.00, 24.00]","20.89 ± 4.47; median 22.00 [IQR 17.00, 25.00]","20.97 ± 4.14; median 22.50 [IQR 17.25, 24.00]"
