Timestamp,Time Taken to complete the survey (minutes),Age Range,Gender,Professional Experience,Locality / Area,Work Mode,Designation,Previous Treatment?,Treatments,Treatments_other,Knowledge Score,Knowledge Total,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
2026-02-21T04:34:32.742Z,6,20-30 years,Female,0-3 years,Bangalore ,Full time,Manager ,Yes,Cleaning (Scaling),,10,10,1,0,2,0,3,0,2,1,3,2,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,0,0,0,0,1,0,0,1,1,1
2026-02-21T08:27:03.902Z,6,30-40 years,Male,6-10 years,Bangalore,Hybrid,Design engineer,No,,,0,10,0,0,2,2,3,0,2,1,0,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,2,0,0,0,1,1,1,0,3,1
2026-02-21T08:31:38.140Z,6,20-30 years,Female,3-6 years,Nagercoil,Full time,Engineer,No,,,0,10,1,0,2,0,3,0,0,1,3,3,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,0,0,0,2,1,0,2,1,3,1
2026-02-21T09:24:39.417Z,4,20-30 years,Female,3-6 years,Bellandur,Full time,Associate consultant ,No,,,0,10,1,3,2,3,3,0,2,2,3,1,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,2,2,0,0,1,2,2,0,0,1
2026-02-21T09:31:41.713Z,11,20-30 years,Female,3-6 years,Bangalore ,Hybrid,Employee ,No,,,0,10,1,0,2,0,3,0,2,1,3,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,0,0,0,2,1,0,0,0,1,1
2026-02-21T09:34:26.352Z,4,20-30 years,Female,0-3 years,Bijapur,Work from home (Remote),Pharmacist,No,,,0,10,0,0,2,1,3,0,2,0,3,2,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,2,0,1,0,0,0,0,2,1,1
2026-02-21T09:40:16.807Z,5,30-40 years,Female,3-6 years,Trichy ,Full time,Bds,No,,,0,10,1,0,2,0,3,0,3,1,3,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,0,3,0,2,1,0,1,0,1,1
2026-02-21T09:58:23.772Z,6,20-30 years,Male,0-3 years,CV Raman Nagar ,Hybrid,Engineer,No,,,0,10,0,3,2,2,0,0,2,2,0,3,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,2,3,2,0,1,0,2,1,3,1
2026-02-21T10:15:17.278Z,7,30-40 years,Male,10-15 years,Bangalore,Hybrid,Software Engineer,No,,,0,10,1,0,3,0,3,0,2,1,3,2,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,0,1,1,2,1,0,2,0,3,1
2026-02-21T11:23:26.974Z,7,20-30 years,Female,3-6 years,Pune,Full time,SDE 2,No,,,0,10,0,0,2,0,3,0,1,1,3,2,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,0,3,0,2,1,1,0,0,3,1
2026-02-21T11:41:33.449Z,5,20-30 years,Male,3-6 years,Marathahalli ,Full time,Software Engineer ,No,,,0,10,1,0,2,1,3,0,2,1,3,0,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,2,3,0,0,1,0,0,0,3,1
2026-02-21T11:48:08.711Z,8,20-30 years,Female,3-6 years,Bellandur,Full time,Associate,No,,,0,10,1,0,2,0,3,0,2,0,3,2,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,0,3,0,2,1,1,0,0,1,1
2026-02-21T12:24:25.830Z,2,20-30 years,Male,0-3 years,Bengaluru ,Full time,Software engineer ,Yes,"Deep cleaning (Root planing), Cleaning (Scaling)",,0,10,0,0,0,0,0,1,0,1,0,1,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,0,0,0,0,0,0,0,0,0,0
2026-02-21T12:45:12.066Z,5,20-30 years,Male,0-3 years,Chennai,Full time,Software developer,No,,,0,10,0,3,2,3,3,0,2,2,0,1,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,2,3,0,0,3,0,0,3,0,1
2026-02-21T15:17:41.030Z,7,20-30 years,Female,0-3 years,Banglore ,Full time,Engineer ,Yes,Cleaning (Scaling),,0,10,1,0,2,1,3,0,2,3,3,2,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,2,3,0,0,2,1,2,1,2,2
2026-02-21T18:04:18.797Z,7,20-30 years,Male,3-6 years,Kolkata,Work from home (Remote),Team Lead / RPA Specialist,No,,,0,10,0,2,3,0,3,0,0,1,3,3,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,2,0,2,0,1,1,0,1,3,2
2026-02-22T15:11:13.318Z,7,20-30 years,Male,3-6 years,Hyderabad,Work from home (Remote),Marketing,No,,,0,10,1,0,3,1,3,0,3,1,3,2,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,2,0,0,0,1,1,0,1,3,1
2026-02-22T17:20:48.172Z,7,20-30 years,Male,3-6 years,Kovilpatti,Full time,Software Engineer,No,,,0,10,3,3,3,3,3,0,1,3,1,3,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,0,1,2,2,2,0,0,0,0,1
2026-02-23T07:08:08.210Z,22,20-30 years,Male,0-3 years,Bangalore ,Hybrid,"Thiruvarur, Tamil Nadu ",Yes,Deep cleaning (Root planing),,0,10,1,0,2,1,3,0,2,0,1,2,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,2,3,0,0,1,3,2,3,1,1
2026-02-23T07:18:45.587Z,1,20-30 years,Male,6-10 years,Madurai,Full time,Developer,No,,,0,10,3,3,3,3,3,3,3,3,3,3,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3,3,3,3,3,3,3,3,3,3
2026-02-23T07:21:30.691Z,5,30-40 years,Male,10-15 years,Madurai ,Full time,UI DEVELOPER,No,,,0,10,3,2,2,1,3,0,0,3,3,1,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,2,3,2,0,1,0,2,0,0,1
2026-02-23T07:32:43.713Z,16,40-50 years,Male,0-3 years,Madhavaram,Full time,Senior Software Developer,No,,,0,10,1,0,2,1,3,0,2,1,3,0,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,2,3,0,0,1,1,0,0,3,1
2026-02-23T07:36:18.494Z,5,20-30 years,Male,0-3 years,Nagercoil,Full time,Software Engineer,No,,,0,10,1,0,2,1,3,0,2,1,3,0,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,2,3,0,0,1,0,1,0,1,1
2026-02-23T07:49:54.517Z,5,30-40 years,Male,10-15 years,Madurai,Full time,Software Developer,No,,,0,10,1,0,3,2,3,0,2,3,3,0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,2,0,0,0,1,0,0,0,0,1
2026-02-23T08:41:37.335Z,4,30-40 years,Male,10-15 years,Madurai,Full time,Member technical staff,No,,,0,10,0,0,3,2,0,2,0,0,0,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,0,2,1,2,1,2,0,0,0,1
2026-02-23T08:53:01.607Z,9,20-30 years,Male,3-6 years,Bommanahalli,Full time,SDE-2,Yes,"Cleaning (Scaling), Deep cleaning (Root planing)",,0,10,0,1,2,1,3,0,0,3,3,3,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,0,0,1,2,1,0,3,0,3,1
2026-02-23T10:04:06.970Z,7,30-40 years,Male,15+ years,Chikkanayakanahalli,Full time,Web Analytics - Technical Lead,No,,,0,10,0,0,2,0,3,0,2,3,3,2,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,0,3,0,2,2,0,0,3,1,1
2026-02-23T10:43:16.222Z,6,30-40 years,Male,10-15 years,JP Nagara ,Full time,Manager,Yes,Deep cleaning (Root planing),,0,10,1,2,2,1,3,0,0,0,3,2,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,0,3,0,2,2,0,2,0,1,1
2026-02-23T10:52:25.471Z,2,20-30 years,Male,0-3 years,Chennai,Full time,Software Engineer ,No,,,0,10,2,0,3,1,0,0,3,0,1,0,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,0,2,1,2,2,0,0,1,0,0
2026-02-23T10:54:11.156Z,4,30-40 years,Male,10-15 years,Jp nagar ,Full time,Software engineer ,Yes,"Cleaning (Scaling), Deep cleaning (Root planing)",,0,10,0,1,2,0,3,0,2,1,1,1,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,0,3,0,2,1,0,2,0,1,1
2026-02-23T10:55:39.653Z,4,20-30 years,Female,3-6 years,Nagercoil,Full time,Senior developer ,No,,,0,10,1,0,2,0,3,0,2,1,3,2,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,0,0,0,2,1,0,0,3,1,1
2026-02-23T11:04:43.864Z,8,30-40 years,Female,0-3 years,Jp nagar,Full time,Home maker,No,,,0,10,1,0,2,1,3,0,2,3,3,0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,0,1,2,2,1,0,2,0,3,1
2026-02-23T12:33:35.686Z,5,20-30 years,Male,0-3 years,Hyderabad ,Full time,Technical Consultant ,No,,,0,10,1,2,0,2,3,0,1,1,3,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,0,1,0,2,1,0,0,0,3,1
2026-02-23T13:18:24.818Z,5,20-30 years,Male,0-3 years,Jp Nagar,Full time,Consultant- 1,No,,,0,10,1,2,2,0,3,0,0,0,3,2,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,2,0,0,0,2,1,0,0,1,1
2026-02-23T13:33:23.671Z,7,20-30 years,Male,3-6 years,Bangalore ,Full time,Manager,No,,,0,10,0,2,2,1,3,0,2,1,3,0,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,2,0,1,2,1,0,1,3,1,1
2026-02-23T13:39:26.612Z,8,40-50 years,Male,15+ years,JP Nagar ,Full time,Raosaheb M S ,Yes,Cleaning (Scaling),,0,10,0,1,2,1,3,0,2,0,3,1,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,0,0,0,2,0,0,1,0,1,1
2026-02-23T13:45:27.834Z,5,50-60 years,Male,15+ years,Gottigere,Full time,Manager,No,,,0,10,1,1,0,1,3,0,3,1,3,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,0,0,0,2,1,0,1,0,0,0
2026-02-23T13:53:26.136Z,9,30-40 years,Male,6-10 years,Bengaluru,Full time,"Manager, Sales Development Representative",No,,,0,10,2,0,2,2,3,0,3,1,3,2,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,0,3,2,2,1,0,3,0,2,1
2026-02-23T17:35:07.658Z,6,20-30 years,Male,0-3 years,DODDABALLAPURA ,Full time,Trainee ,No,,,0,10,3,3,2,1,3,0,2,0,1,3,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,2,2,2,0,1,3,2,1,3,1
2026-02-24T08:42:38.170Z,5,30-40 years,Female,6-10 years,Horamavu ,Full time,General Dentist ,No,,,0,10,1,0,2,0,3,0,0,1,3,2,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,0,1,1,2,1,0,3,0,0,1
2026-02-24T08:58:05.131Z,3,30-40 years,Male,10-15 years,Chennai,Full time,Manager,No,,,0,10,3,1,2,0,2,1,2,1,2,3,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,2,1,2,0,0,2,2,0,3,2
2026-02-24T09:03:56.559Z,11,20-30 years,Female,0-3 years,Chennai,Full time,Audit Inspector,No,,,0,10,0,0,2,0,3,0,2,1,3,1,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,2,0,1,0,0,1,2,1,1,1
2026-02-24T09:05:16.185Z,5,40-50 years,Male,15+ years,Thanjavur ,Full time,Managing Director,Yes,Deep cleaning (Root planing),,0,10,0,0,2,1,2,0,3,0,0,0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,2,2,0,0,0,0,1,0,1,1
2026-02-24T09:17:30.834Z,2,30-40 years,Male,10-15 years,Bangalore,Hybrid,Sr ios developer,Yes,Cleaning (Scaling),,0,10,2,0,1,1,1,0,1,1,1,1,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1,1,1,1,1,1,1,1,1,1
2026-02-24T10:27:20.679Z,6,30-40 years,Male,15+ years,Chennai,Full time,Professor,No,,,0,10,3,2,2,3,3,0,3,3,3,2,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,0,2,1,0,2,0,0,3,2,1
